liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
"Escape game";30545;"Unlock! Les Pièges Du Nautilus";;2017;basegame;3558380054306;14,99;"2 — 6";60;10+;français;;Unlock!;"Escape Game,Jeu de Cartes";Maritime;Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";"Cyril Demaegd,Thomas Cauet";"Arnaud Demaegd,Florian De Gesincourt"
Ambiance;23370;Gobbit;;2016;basegame;3760032260809;13;"2 — 8";15;7+;français;;Gobbit;"Jeu d'Ambiance,Jeu de Cartes";Animaux;"Capture,Chance & Hasard,Observation,Rapidité";OldChap;"Jean-Baptiste Fremaux,Paul-Adrien Tournier,Thomas Luzurier";"Michel Verdu"
Enfance;17662;Gruselino;;1999;basegame;;0;"2 — 4";10;5+;allemand;;;"Jeu de Cartes";"Animaux,Château,Fantastique,Fantômes & Esprits,Magie & Sorcellerie,Médiéval,Monstres & Créatures,Vampire";"Association d'idées,Déduction,Observation,Rapidité";Ravensburger;"Lucien Geelhoed";"Joachim Krause"
"Petite Enfance";168;"Défis Nature des Petits - Mer";;2017;basegame;3569160286046;7,99;"2 — 6";15;"4 — 6";français;;"Défis Nature";"Jeu de Cartes,Jeu De Connaissances";Animaux,Écologie,Océan;"Pari,Prise de risque,Questions & Réponses";"Bioviva Editions";;
"Ludique Educatif";168;"Défis Nature des Petits - Mer";;2017;basegame;3569160286046;7,99;"2 — 6";15;"4 — 6";français;;"Défis Nature";"Jeu de Cartes,Jeu De Connaissances";Animaux,Écologie,Océan;"Pari,Prise de risque,Questions & Réponses";"Bioviva Editions";;
"Ludique Educatif";37278;L'Aventurier;;2019;basegame;5414301518877;14,99;Solo;15;7+;français;;L'Aventurier;Casse-tête;Abstrait,Aventure,Labyrinthe;"Déduction,Défis,Logique,perception visuelle,Plateau modulaire,Puzzle,Réflexion,Solo";"Smart Games";"Raf Peeters";
Famille;47676;"Last Message";;2021;basegame;3760175518232;24;"3 — 8";15;8+;français;"Last Message";;"Jeu D'Enquête";"Enquêtes & Mystères";"Affrontement Direct,Coopération,Déduction,Dessin,Énigme";Iello;"Juhwa Lee,Kim Giung";"Gus Morais,Nathan Hackett,Stéphane Escapa,Vincent Dutrait"
"1 ou 2 joueurs";21996;"Qui est-ce?";;2011;basegame;5010994438470;15;Duo;15;6+;français;;"Qui Est-Ce ?";"Jeu de plateau";"Vie quotidienne";Déduction,Logique,Observation;Hasbro;;
"1 ou 2 joueurs";6799;"Super Qui est-ce ?";électronique;2008;basegame;5010994293246;34;Duo;15;6+;français;;"Qui Est-Ce ?";"Jeu de plateau,Jeu électronique";"Vie quotidienne";Déduction,Logique;Hasbro,MB;"Ora Coster,Theo Coster";
"1 ou 2 joueurs";1270;"Crazy Cups +";;2014;basegame;3421272110223;10;Duo;10;6+;français;;"Crazy Cups";;Abstrait;"Adresse & Dextérité,Combinaison,Observation";Gigamic;"Haim Shafir";"Barbara Spelger,Yaniv Shimoni"
"1 ou 2 joueurs";31935;"The Genius Square";;2019;basegame;0732068459932;20;"1 — 2";15;6+;français,allemand,espagnol,italien;;"Genius square";Casse-tête;Abstrait;Logique;"The Happy Puzzle Company";"Salim Berghiche";
"1 ou 2 joueurs";40448;"Cube Duel";;2020;basegame;5414301523376;29,9;"1 — 2";10;10+;français,anglais,allemand;;;Casse-tête;Abstrait,Formes;"Adresse & Dextérité,Affrontement Direct,Déduction,Défis,Logique,Manipulation,perception visuelle,Puzzle";"Smart Games";"Alain Brobecker,Niek Neuwahl,Rein Lambrichts";
"1 ou 2 joueurs";20059;Patchwork;;2015;basegame;3770001556376;18;Duo;30;8+;français;;"Jeu pour 2,Patchwork";"Jeu de tuiles";Couture,Vêtements;"Collection,Équilibre,Placement de tuiles,Polyominos";"Funforge,Lookout Games";"Uwe Rosenberg";"Klemens Franz"
"1 ou 2 joueurs";21914;Raptor;;2015;basegame;3760146641136;27;Duo;25;9+;français;;Raptor;"Jeu de Cartes,Jeu de figurines,Jeu de plateau";Animaux,Dinosaures;"Asymétrie,Capture,Choix simultanés,Déplacement,Gestion de main,Plateau modulaire,Prise de risque";Matagot;"Bruno Cathala,Bruno Faidutti";"Vincent Dutrait"
"1 ou 2 joueurs";34152;Okiya;;2012;basegame;3770000904093;15;Duo;20;7+;français,anglais,allemand,espagnol,italien,néerlandais,portugais;;Okiya;"Jeu de tuiles";Abstrait,Asie,Japon;Blocage;"Blue Orange,Jactalea";"Bruno Cathala";"Cyril Bouquet"
"1 ou 2 joueurs";6381;"Mr. Jack Pocket";;2010;basegame;7612577004003;15;Duo;20;14+;français,anglais,allemand,espagnol;"Mr. Jack,Sherlock Holmes";"Mr. Jack";"Jeu de Cartes";"Angleterre,Chiens,Enquêtes & Mystères";Déduction;Hurrican;"Bruno Cathala,Ludovic Maublanc";"Jean-Marie Minguez"
"1 ou 2 joueurs";553;"Schotten Totten";;2016;basegame;3760175513022;13;Duo;"15 — 30";8+;français;;"Iello Mini-Games,Schotten-Totten";"Jeu de Cartes";Celtique,Conquête,Écosse,Humour;"Chance & Hasard,Collection,Combinaison,Gestion de main,Placement de cartes";Iello;"Reiner Knizia";"Jean-Baptiste Reynaud"
Enfance;39808;"Mollo L'Escargot";;2020;basegame;3421272126217;19,9;"2 — 4";15;"4 — 7";français;;;"Jeu de plateau";Animaux,Escargots,Nature;Course,Parcours;Gigamic;"Felix Beukemann";"Gediminas Akelaitis"
Famille;46639;"Mimtoo Famille";;2020;basegame;3760052142758;13,5;"4 — 10";30;6+;français;;Mimtoo;"Jeu d'Ambiance";"Humour,Vie quotidienne";;"Cocktail Games";;
Enfance;21168;"Mr. Wolf";;2018;basegame;3770000904826;25,9;"1 — 4";15;4+;français,anglais,allemand,espagnol,italien,néerlandais,portugais,russe;;"Mr. Wolf";"Jeu de plateau";Animaux,Cochons,Lapins,Loups,Moutons;Coopération,Mémorisation;"Blue Orange";"Marie Fort,Wilfried Fort";"Gaëlle Picard"
"Ludique Educatif";42233;"Jacques et le Haricot Magique";Deluxe;2020;basegame;5414301523154;28;Solo;10;4+;français,anglais,allemand,italien,néerlandais;;;"Casse-tête,Jeu de plateau,Jeu Éducatif";Abstrait,Contes;"Construction,Défis,Logique,Manipulation,Observation,perception visuelle,Puzzle,Réflexion,Solo";"Smart Games";"Raf Peeters";
"Petite Enfance";63935;"Mon premier Uno - Winnie l'ourson";;2014;basegame;;15,9;"2 — 24";15;4+;français,anglais;"Winnie L'Ourson";Uno;"Jeu de Cartes";"Dessin animé";Combinaison,Défausse,Rapidité;Mattel;;
Enfance;63698;"Circuit à billes Tubulea";;2015;basegame;4056232663823;12,99;Solo;10;"3 — 7";français;;;"Jeu D'Adresse";Abstrait;Motricité;Playtive;;
Enfance;56553;"Time's Up! Kids";;2017;basegame;5425016921265;24,99;"2 — 12";20;4+;français;;"Time's Up !";"Jeu d'Ambiance";Chats;Mémorisation,Mime;"Repos Production";"Peter Sarrett";
Ambiance;33426;Kémozako;;2013;basegame;;0;"2 — 8";"30 — 60";10+;français;;Kemozako;"Jeu De Connaissances";"Culture générale,Humour";"Bluff,Créativité & Imagination,Questions & Réponses";Lansay;"Jean-François Pirrone";
Ambiance;8320;Charad'Mania!;;2008;basegame;;39;"4 — 12";50;12+;français;;Charad'Mania!;"Jeu de lettres";;;Charadmania;"Jean-Luc Chevalier";"Claire Journaux"
Enfance;28301;"Les Mystères de Pékin Junior";;2018;basegame;3181860750230;19,99;"2 — 4";"30 — 60";5+;français;;"Les Mystères de Pékin";"Jeu de Cartes";"Asie,Chine,Enquêtes & Mystères";Collection,Déduction;Lansay;;
